Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,11097.69,8755.214,6748.283,6717.65,7541.876,7374.287,7087.288,6353.652,6602.177,7817.44,8135.064,8114.344,8750.98,9087.252,9164.808,8945.949,8845.088,8862.187,8599.893,8638.802,8899.166,9331.294,8879.601,8930.465,9363.005,9223.67,9087.428,9656.962,9453.678,9008.165,,
AND,430.703,432.466,434.228,439.654,437.753,457.835,493.418,510.681,542.6,570.855,588.118,592.75,604.71,613.006,643.286,662.574,637.875,635.16,639.773,622.402,627.015,602.069,599.107,588.817,574.863,579.229,585.851,585.144,617.414,627.58,,
ARE,73251.64,81067.95,79192.71,83618.07,92204.81,97341.08,101712.7,104946.8,106991.1,108829.5,109015.4,123084.4,125395.7,133422.0,141214.0,150104.0,157122.2,168245.0,194018.5,194379.1,201892.5,207492.6,219589.8,230889.5,231796.4,245221.6,252918.7,248686.3,229383.3,243546.7,,
ARG,247302.9,251724.3,256243.3,256815.3,260198.3,262786.5,271992.6,276766.7,282381.4,288709.9,290822.9,284140.3,280476.2,302567.4,318699.1,322740.5,337254.6,349821.8,354272.5,333819.0,339607.0,350250.4,355296.7,364479.9,363148.8,370000.9,373332.2,377205.7,375101.1,369051.9,,
ARM,24409.61,25008.97,14821.08,8584.578,6026.946,6638.24,5574.685,6192.468,6119.394,5616.987,5990.513,6101.525,5773.022,6201.744,6592.249,7316.804,7716.873,8366.114,8885.963,7743.792,7561.357,8203.352,9199.711,9141.848,9132.75,9155.671,9414.462,9250.183,9442.624,9963.242,,
ATG,353.008,366.21,445.265,421.319,427.023,453.079,478.353,512.816,559.982,582.1,601.548,644.671,702.638,739.654,749.274,779.844,849.997,907.645,961.377,1917.101,1029.57,1088.105,1258.904,1046.677,1061.611,1086.616,1124.39,1151.241,1186.174,1217.041,,
AUS,486998.6,486990.8,487651.8,489813.7,495782.4,503549.2,500983.9,507311.1,536324.2,572759.9,596963.5,624780.4,619278.9,539306.3,597431.8,560379.0,603113.2,606470.8,578946.5,593596.9,566440.8,668341.9,667437.1,580875.3,597268.1,596976.3,574453.0,623270.5,617394.1,585981.2,,
AUT,76613.11,80888.64,75073.58,74997.96,75070.89,77551.54,81328.26,80284.97,80281.0,78469.79,78652.6,83003.43,84334.77,89448.28,90274.83,90351.17,88095.24,85058.36,84624.48,77709.74,83505.9,81532.29,78326.86,78869.39,75150.36,76339.48,76725.84,78653.98,75438.5,76917.89,,
AZE,75682.81,73242.61,82315.25,61692.75,42365.89,41483.79,35907.07,35408.07,35791.75,36014.61,37735.56,37190.5,37251.78,39942.95,40075.72,42873.55,44717.67,43293.94,47648.93,43134.2,42019.35,44840.7,48050.13,49259.02,50622.86,50518.14,50858.58,50244.41,51691.29,54803.1,,
