Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,24007.4957081744,25097.2721099909,25692.2384598819,26743.7228041228,28027.5156353729,27868.5430751046,27358.5421213954,28413.1440057025,28121.3155796027,27646.1956456575,29005.9333738747,29693.1399149667,29059.4865095137,29093.5782378862,30931.9364997363,30505.3391939872,30490.3658419122,31051.0015717696,31230.193038317,27243.3332022516,26200.7273001561,26829.634480299,26337.5850592423,27821.7915999069,27624.3773003771,28421.3864931862,28852.2370667381,30270.9416008153,31705.2790531117,31762.7340256358,25823.634823564,30271.8334746536
ALB,1606.29604693997,1163.49129356824,1086.43848680039,1197.58059375303,1305.00071868174,1488.02049135802,1633.55157205372,1464.29757891877,1603.64723014585,1821.87265372461,1960.88194602054,2143.52627790757,2247.49749129938,2380.64399709539,2522.44871361971,2675.50793615524,2851.36701218575,3044.89581910515,3298.47804428531,3432.16997279698,3577.11338784054,3678.04673786035,3736.33910071368,3780.69820205676,3855.75973394744,3952.80253807527,4090.371656678,4249.80373367726,4431.53918098494,4543.38652018643,4410.45516523171,4830.59631691622
AND,30577.9386605777,30301.5096753909,29595.9047267703,28363.2263879503,28144.2627127457,28051.2787074328,28797.7389234849,31149.2320440578,31895.8542125587,32966.1060275923,33901.0424445519,35722.3871335863,35749.7870466881,37250.1473703805,38696.3410489141,39306.9848739107,40994.2849318779,42724.3976569111,41470.273367003,40442.6246189784,40937.1116168449,41486.0348462446,39174.7418302392,37597.5561335484,38402.496869184,38885.3760140905,39886.4818035358,39321.4582703477,39319.9364136952,39413.6344732996,34394.2775534697,36839.8762185682
ARE,64592.6090997286,61637.3164196487,60452.8005109843,58267.661003872,59458.0444757507,60698.9619874768,60755.2425168898,61581.2048323601,58060.7868464276,56342.7929546314,59067.6034675903,56792.5827368877,55301.5095521669,57331.6540537708,59986.4400240902,58672.4846769429,56315.1912267593,48474.2089858078,42033.2335812773,34826.4701147085,33344.1211641291,35265.8873943083,36567.6222908264,38034.9683968782,39242.275310352,41525.1389031283,43457.5134802784,43419.5637407047,43644.1470438183,43785.4172694435,41276.0555102387,42535.9660450383
ARG,8144.49429397801,8762.66138351332,9327.8594509636,9957.25652230492,10397.3792874496,9969.33157579723,10388.5387104408,11097.3820634618,11391.9451576314,10880.2062074837,10672.7220353121,10090.6534434286,8895.31964210751,9581.96979219468,10341.6434058805,11141.3106718375,11913.9585322637,12857.0925770961,13246.6348917152,12336.8619385237,13551.3391940229,14200.2698890608,13895.6337072986,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11341.2683655863,12402.4907912317
ARM,1641.98316944805,1425.38676225741,839.57204217232,791.647007749424,855.081053472444,928.092510170958,989.64235772034,1031.09827394605,1116.90720859788,1166.18797873134,1249.61214756857,1385.04481436446,1582.05764484309,1815.78825107558,2018.4601704343,2312.9828952133,2636.25668680987,3019.46560486589,3250.49865862103,2810.19288167278,2889.56627049421,3043.26283071032,3278.67049613397,3402.08390435316,3538.5294441069,3666.1418758065,3689.8301361784,3985.91675673291,4215.89945615491,4561.96786576599,4256.13129015707,4522.31910742549
ATG,11727.1092924402,11924.7388744863,11871.6584152776,12275.3959242182,12853.283788342,12054.6163013293,12592.9995890606,13017.211571059,13378.7153617669,13639.9959349697,14247.973013193,13392.9817167531,13358.8143713235,14010.8490580853,14656.292617304,15423.8000243913,17163.3978251358,18505.7906655862,18228.6491331364,15804.4451442561,14367.9514959487,13918.5965270244,14232.9695942318,14015.8793149044,14427.4069090612,14861.8827074704,15570.9040636643,15962.6801186395,16967.0862296598,17697.2311549703,14040.3675461654,14692.4156212259
AUS,36965.6401068859,36357.6466147174,36106.9584544219,37235.6570442241,38346.8799364343,39396.2420319209,40422.0375528353,41551.6388062748,43037.4500298438,44679.0642274232,45893.8117477327,46233.2485098235,47535.789569256,48454.2822039911,49960.3802401927,50912.4668971149,51606.6655259147,52587.7859971238,53383.7075020818,53272.984733549,53607.9847584907,54132.5217536452,55271.3661365871,55729.1929884612,56320.1102887168,56710.4457244504,57356.0512417034,57703.0343638334,58481.0344237649,58870.0216937531,58117.4520268812,59341.2377401658
AUT,31340.6812927165,32097.2410936755,32410.53977326,32313.7118722637,32962.8174189767,33790.4849857504,34537.7395746518,35220.8877426259,36442.2882333384,37664.9432792116,38842.8905195831,39184.8085972636,39636.4826114521,39815.2219533064,40651.2266155811,41281.2707559522,42496.3510516831,43937.7128905744,44440.055889928,42655.1921304813,43334.5089644691,44451.0001918473,44549.881698231,44299.3781845446,44245.1687398338,44195.8175947748,44590.2516278164,45281.723399938,46154.6250956541,46647.0809634335,43455.7000665738,45238.3907144733
AZE,2820.74099098764,2763.97687589073,2107.22274287282,1596.07658448422,1264.48275919291,1102.45915308008,1105.54839675385,1158.44095359684,1262.24753566415,1343.80872142981,1480.75666152969,1614.79211934996,1754.07360862574,1918.54362529929,2077.8122625974,2631.75898094917,3501.04180925969,4326.96156868441,4692.91218530787,5023.79077008268,5215.0209146409,5152.65745405188,5194.73838966177,5425.90529208285,5505.98823266036,5500.31038244408,5270.55297483365,5229.5261405359,5262.18380792188,5348.26526707105,5083.3816401988,5344.42134817085
