"","nace_r2","nace_r2_lab"
"1","B051","Mining of hard coal"
"2","B052","Mining of lignite"
"3","B061","Extraction of crude petroleum"
"4","B062","Extraction of natural gas"
"5","B071","Mining of iron ores"
"6","B072","Mining of non-ferrous metal ores"
"7","B081","Quarrying of stone, sand and clay"
"8","B089","Mining and quarrying n.e.c."
"9","B091","Support activities for petroleum and natural gas extraction"
"10","B099","Support activities for other mining and quarrying"
"11","C101","Processing and preserving of meat and production of meat products"
"12","C102","Processing and preserving of fish, crustaceans and molluscs"
"13","C103","Processing and preserving of fruit and vegetables"
"14","C104","Manufacture of vegetable and animal oils and fats"
"15","C105","Manufacture of dairy products"
"16","C106","Manufacture of grain mill products, starches and starch products"
"17","C107","Manufacture of bakery and farinaceous products"
"18","C108","Manufacture of other food products"
"19","C109","Manufacture of prepared animal feeds"
"20","C110","C110 Manufacture of beverages"
"21","C120","C120 Manufacture of tobacco products"
"22","C131","Preparation and spinning of textile fibres"
"23","C132","Weaving of textiles"
"24","C133","Finishing of textiles"
"25","C139","Manufacture of other textiles"
"26","C141","Manufacture of wearing apparel, except fur apparel"
"27","C142","Manufacture of articles of fur"
"28","C143","Manufacture of knitted and crocheted apparel"
"29","C151","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"30","C152","Manufacture of footwear"
"31","C161","Sawmilling and planing of wood"
"32","C162","Manufacture of products of wood, cork, straw and plaiting materials"
"33","C171","Manufacture of pulp, paper and paperboard"
"34","C172","Manufacture of articles of paper and paperboard"
"35","C181","Printing and service activities related to printing"
"36","C182","Reproduction of recorded media"
"37","C191","Manufacture of coke oven products"
"38","C192","Manufacture of refined petroleum products"
"39","C201","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"40","C202","Manufacture of pesticides and other agrochemical products"
"41","C203","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"42","C204","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"43","C205","Manufacture of other chemical products"
"44","C206","Manufacture of man-made fibres"
"45","C211","Manufacture of basic pharmaceutical products"
"46","C212","Manufacture of pharmaceutical preparations"
"47","C221","Manufacture of rubber products"
"48","C222","Manufacture of plastics products"
"49","C231","Manufacture of glass and glass products"
"50","C232","Manufacture of refractory products"
"51","C233","Manufacture of clay building materials"
"52","C234","Manufacture of other porcelain and ceramic products"
"53","C235","Manufacture of cement, lime and plaster"
"54","C236","Manufacture of articles of concrete, cement and plaster"
"55","C237","Cutting, shaping and finishing of stone"
"56","C239","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"57","C241","Manufacture of basic iron and steel and of ferro-alloys"
"58","C242","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"59","C243","Manufacture of other products of first processing of steel"
"60","C244","Manufacture of basic precious and other non-ferrous metals"
"61","C245","Casting of metals"
"62","C251","Manufacture of structural metal products"
"63","C252","Manufacture of tanks, reservoirs and containers of metal"
"64","C253","Manufacture of steam generators, except central heating hot water boilers"
"65","C254","Manufacture of weapons and ammunition"
"66","C255","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"67","C256","Treatment and coating of metals; machining"
"68","C257","Manufacture of cutlery, tools and general hardware"
"69","C259","Manufacture of other fabricated metal products"
"70","C261","Manufacture of electronic components and boards"
"71","C262","Manufacture of computers and peripheral equipment"
"72","C263","Manufacture of communication equipment"
"73","C264","Manufacture of consumer electronics"
"74","C265","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"75","C266","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"76","C267","Manufacture of optical instruments and photographic equipment"
"77","C268","Manufacture of magnetic and optical media"
"78","C271","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"79","C272","Manufacture of batteries and accumulators"
"80","C273","Manufacture of wiring and wiring devices"
"81","C274","Manufacture of electric lighting equipment"
"82","C275","Manufacture of domestic appliances"
"83","C279","Manufacture of other electrical equipment"
"84","C281","Manufacture of general-purpose machinery"
"85","C282","Manufacture of other general-purpose machinery"
"86","C283","Manufacture of agricultural and forestry machinery"
"87","C284","Manufacture of metal forming machinery and machine tools"
"88","C289","Manufacture of other special-purpose machinery"
"89","C291","Manufacture of motor vehicles"
"90","C292","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"91","C293","Manufacture of parts and accessories for motor vehicles"
"92","C301","Building of ships and boats"
"93","C302","Manufacture of railway locomotives and rolling stock"
"94","C303","Manufacture of air and spacecraft and related machinery"
"95","C304","Manufacture of military fighting vehicles"
"96","C309","Manufacture of transport equipment n.e.c."
"97","C310","C310 Manufacture of furniture"
"98","C321","Manufacture of jewellery, bijouterie and related articles"
"99","C322","Manufacture of musical instruments"
"100","C323","Manufacture of sports goods"
"101","C324","Manufacture of games and toys"
"102","C325","Manufacture of medical and dental instruments and supplies"
"103","C329","Manufacturing n.e.c."
"104","C331","Repair of fabricated metal products, machinery and equipment"
"105","C332","Installation of industrial machinery and equipment"
"106","D351","Electric power generation, transmission and distribution"
"107","D352","Manufacture of gas; distribution of gaseous fuels through mains"
"108","D353","Steam and air conditioning supply"
"109","E360","E360 Water collection, treatment and supply"
"110","E370","E370 Sewerage"
"111","E381","Waste collection"
"112","E382","Waste treatment and disposal"
"113","E383","Materials recovery"
"114","E390","E390 Remediation activities and other waste management services"
"115","F411","Development of building projects"
"116","F412","Construction of residential and non-residential buildings"
"117","F421","Construction of roads and railways"
"118","F422","Construction of utility projects"
"119","F429","Construction of other civil engineering projects"
"120","F431","Demolition and site preparation"
"121","F432","Electrical, plumbing and other construction installation activities"
"122","F433","Building completion and finishing"
"123","F439","Other specialised construction activities"
"124","G451","Sale of motor vehicles"
"125","G452","Maintenance and repair of motor vehicles"
"126","G453","Sale of motor vehicle parts and accessories"
"127","G454","Sale, maintenance and repair of motorcycles and related parts and accessories"
"128","G461","Wholesale on a fee or contract basis"
