id,name
192562407,Materials science
120314980,Distributed computing
29694066,Orthodontics
171250308,Nanotechnology
54750564,Commerce
131872663,Obstetrics
95457728,History
21951064,Combinatorial chemistry
151730666,Paleontology
8058405,Geophysics
55493867,Biochemistry
70721500,Computational biology
188147891,Cognitive science
111472728,Epistemology
19417346,Pedagogy
134306372,Mathematical analysis
171146098,Automotive engineering
5900021,Petrology
99508421,Physical medicine and rehabilitation
77595967,Forensic engineering
199343813,Dentistry
175444787,Microeconomics
56739046,Knowledge management
60644358,Bioinformatics
57879066,Mechanics
154945302,Artificial intelligence
29595303,Media studies
187212893,Pediatrics
179104552,Inorganic chemistry
37914503,Mathematical physics
22212356,Transport engineering
26873012,Condensed matter physics
23123220,Information retrieval
99454951,Environmental health
202444582,Pure mathematics
6557445,Agronomy
37037264,Hydrology
119857082,Machine learning
2549261,Ethnology
75630572,Applied psychology
29456083,Gynecology
203014093,Immunology
139719470,Macroeconomics
38652104,Computer security
43617362,Chromatography
30475298,Computational physics
105702510,Anatomy
138885662,Philosophy
178790620,Organic chemistry
24326235,Electronic engineering
556039675,Traditional medicine
52119013,Art history
73484699,Criminology
21547014,Operations management
71924100,Medicine
31903555,Food science
548259974,Audiology
49204034,Climatology
120665830,Optics
195244886,Ancient history
145420912,Mathematics education
37621935,Agricultural science
126255220,Mathematical optimization
549774020,Welfare economics
119599485,Electrical engineering
199360897,Programming language
90856448,Zoology
118084267,Positive economics
107993555,Gender studies
116915560,Nuclear engineering
61696701,Engineering physics
24667770,Religious studies
111368507,Oceanography
136264566,Economy
118487528,Ophthalmology
185544564,Nuclear physics
42360764,Chemical engineering
505870484,Fishery
140793950,Animal science
159467904,Chemical physics
100001284,Public economics
147597530,Computational chemistry
161191863,Library science
178802073,Aeronautics
199639397,Engineering drawing
28490314,Speech recognition
115903868,Software engineering
185592680,Chemistry
548081761,Waste management
16674752,Mining engineering
78458016,Evolutionary biology
107038049,Aesthetics
134018914,Endocrinology
526734887,Environmental protection
113775141,Computer engineering
24890656,Acoustics
31972630,Computer vision
162853370,Marketing
90924648,Gastroenterology
166957645,Archaeology
42475967,Operations research
127413603,Engineering
115704247,Analytical chemistry
58640448,Cartography
190253527,Law and economics
75473681,Photochemistry
205649164,Geography
144133560,Business
159047783,Virology
16685009,Andrology
45355965,Socioeconomics
112698675,Advertising
97355855,Thermodynamics
86803240,Biology
