level_0,1000,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1200,1201,1202,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1500,1501,1502,1503,1504,1505,1506,1507,1508,1600,1601,1602,1603,1604,1605,1606,1607,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1800,1801,1802,1803,1804,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,2000,2001,2002,2003,2100,2101,2102,2103,2104,2105,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2300,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2400,2401,2402,2403,2404,2405,2406,2500,2501,2502,2503,2504,2505,2506,2507,2508,2600,2601,2602,2603,2604,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2700,2701,2702,2703,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,2716,2717,2718,2719,2720,2721,2722,2723,2724,2725,2726,2727,2728,2729,2730,2731,2732,2733,2734,2735,2736,2737,2738,2739,2740,2741,2742,2743,2744,2745,2746,2747,2748,2800,2801,2802,2803,2804,2805,2806,2807,2808,2809,2900,2901,2902,2903,2904,2905,2906,2907,2908,2909,2910,2911,2912,2913,2914,2915,2916,2917,2919,2920,2922,2923,3000,3001,3002,3003,3004,3005,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3200,3201,3202,3203,3204,3205,3206,3207,3300,3301,3302,3303,3304,3305,3306,3307,3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3320,3321,3322,3400,3401,3402,3403,3404,3500,3501,3502,3503,3504,3505,3506,3600,3601,3602,3603,3604,3605,3606,3607,3608,3609,3610,3611,3612,3613,3614,3615,3616
ABW,,65.0,,,65.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,751.0,,,,,,,,,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2.0,196.0,32.0,1.0,35.0,,43.0,10.0,,89.0,32.0,30.0,,40.0,,40.0,40.0,,40.0,,,,,,,,73.0,,,,29.0,12.0,,29.0,,,,32.0,,,29.0,,62.0,53.0,,9.0,,,,,53.0,,,29.0,,29.0,,,,,,,135.0,49.0,86.0,,,,,40.0,59.0,19.0,,,,0.0,40.0,,0.0,,,,0.0,,,,,,233.0,16.0,,,,96.0,44.0,134.0,2.0,8.0,1.0,11.0,,11.0,49.0,40.0,9.0,,9.0,0.0,1.0,9.0,,,43.0,1.0,,,29.0,,,,12.0,,,,1.0,,,,,56.0,55.0,,1.0,,,,,,,,,0.0,83.0,,,,,55.0,28.0,90.0,40.0,29.0,,12.0,9.0,,9.0,21.0,23.0,,,,,,,19.0,,,,,,4.0,19.0,316.0,193.0,,,,,,,,,,,,,,31.0,3.0,,,,,31.0,,30.0,,119.0,29.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,100.0,,17.0,0.0,,0.0,16.0,,1.0,,,4.0,,,,,,,,,,44.0,3.0,,0.0,,0.0,,,,,,,,1.0,40.0,,,,,,,,,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,142.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,130.0,130.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,17.0,1.0,,,,,,,130.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,101.0,1967.0,25.0,272.0,462.0,648.0,385.0,194.0,34.0,0.0,195.0,46.0,208.0,320.0,189.0,64.0,,,,46.0,15.0,6.0,,,,,3346.0,210.0,54.0,1126.0,51.0,174.0,79.0,460.0,218.0,260.0,804.0,448.0,430.0,23.0,839.0,,3190.0,573.0,146.0,507.0,247.0,1588.0,95.0,167.0,1800.0,61.0,1.0,1462.0,1156.0,125.0,58.0,,29.0,31.0,125.0,161.0,1504.0,1036.0,152.0,23.0,17.0,248.0,68.0,129.0,2140.0,373.0,196.0,273.0,28.0,231.0,979.0,94.0,350.0,67.0,454.0,278.0,301.0,2015.0,1561.0,319.0,170.0,105.0,1418.0,72.0,,34.0,210.0,182.0,81.0,299.0,131.0,248.0,93.0,100.0,397.0,77.0,524.0,,436.0,290.0,1365.0,106.0,1038.0,721.0,135.0,266.0,3790.0,781.0,35.0,15.0,170.0,276.0,3.0,264.0,1276.0,529.0,831.0,90.0,42.0,180.0,24.0,212.0,65.0,1955.0,251.0,,465.0,196.0,279.0,26.0,89.0,260.0,259.0,96.0,185.0,621.0,992.0,116.0,152.0,373.0,404.0,39.0,214.0,1375.0,603.0,49.0,272.0,138.0,274.0,30.0,344.0,87.0,1867.0,402.0,8.0,122.0,1239.0,641.0,13.0,17.0,8.0,9.0,248.0,297.0,2.0,133.0,150.0,6703.0,2871.0,,19.0,33.0,341.0,71.0,,69.0,,,21.0,585.0,357.0,10.0,209.0,404.0,,26.0,104.0,23.0,179.0,,40.0,683.0,578.0,559.0,99.0,457.0,638.0,95.0,18.0,51.0,55.0,84.0,462.0,237.0,370.0,168.0,378.0,88.0,215.0,4.0,430.0,,3.0,292.0,,75.0,935.0,341.0,,,308.0,,77.0,,286.0,,372.0,,190.0,,,,,2.0,,,,,,,,,180.0,,,,,,864.0,160.0,3.0,196.0,330.0,318.0,1350.0,348.0,0.0,389.0,327.0,85.0,70.0,250.0,90.0,291.0,15.0,316.0,1.0,29.0,10.0,272.0,,,17.0,1480.0,20.0,32.0,53.0,305.0,207.0,20.0,1.0,189.0,17.0,228.0,9.0,95.0,288.0,,150.0,21.0,13.0,2.0,,40.0,12.0,5.0,366.0,178.0,152.0,182.0,148.0,54.0,22.0,,,40.0,,,312.0,,,,,14.0,,18.0,,12.0,,,82.0,,62.0,,
ARG,7699.0,45369.0,2519.0,6819.0,6716.0,5459.0,14712.0,8570.0,926.0,1643.0,3318.0,9882.0,2058.0,6225.0,546.0,495.0,325.0,,12.0,5223.0,126.0,88.0,,98.0,26.0,0.0,46201.0,2050.0,1066.0,14012.0,2029.0,4244.0,3516.0,9757.0,4852.0,1730.0,3999.0,9924.0,12849.0,3521.0,5169.0,1129.0,1018.0,428.0,152.0,128.0,10.0,262.0,189.0,52.0,136.0,,0.0,12234.0,5999.0,953.0,4048.0,38.0,1601.0,54.0,82.0,1545.0,27563.0,11881.0,3806.0,1411.0,1853.0,5013.0,7908.0,2354.0,4142.0,537.0,631.0,336.0,88.0,1050.0,1924.0,66.0,348.0,40.0,516.0,378.0,820.0,675.0,25.0,5.0,317.0,345.0,23438.0,1642.0,1640.0,95.0,4075.0,215.0,1772.0,4856.0,2496.0,292.0,2214.0,3338.0,8428.0,1329.0,2102.0,153.0,1949.0,1182.0,1422.0,83.0,855.0,279.0,199.0,456.0,12216.0,710.0,249.0,7.0,423.0,638.0,269.0,1125.0,2493.0,1978.0,3029.0,2415.0,1364.0,818.0,38.0,537.0,14.0,18158.0,2354.0,345.0,8703.0,4016.0,1432.0,1401.0,1728.0,1158.0,1654.0,2329.0,763.0,2988.0,17908.0,1035.0,2439.0,6643.0,6392.0,3170.0,2454.0,15637.0,4991.0,1223.0,1375.0,4897.0,5477.0,1099.0,2016.0,2994.0,7096.0,634.0,295.0,453.0,2338.0,526.0,370.0,78.0,118.0,111.0,403.0,868.0,305.0,2424.0,782.0,68782.0,36246.0,479.0,153.0,904.0,3917.0,1407.0,177.0,344.0,,351.0,88.0,2357.0,734.0,18.0,946.0,1539.0,730.0,71.0,502.0,1085.0,776.0,274.0,4533.0,522.0,7038.0,4554.0,582.0,2871.0,1314.0,2722.0,317.0,1294.0,492.0,642.0,1877.0,2301.0,1762.0,984.0,2315.0,1142.0,969.0,441.0,1190.0,,922.0,3365.0,1208.0,293.0,6416.0,2760.0,422.0,189.0,1273.0,436.0,167.0,234.0,1593.0,389.0,1772.0,71.0,70.0,,,,2.0,,,104.0,2.0,,,,,,1523.0,,,,,,8271.0,296.0,2799.0,2005.0,4050.0,2181.0,30172.0,7453.0,91.0,7721.0,10125.0,986.0,2820.0,2578.0,535.0,2157.0,1539.0,2271.0,261.0,89.0,234.0,53.0,147.0,330.0,1301.0,4312.0,514.0,325.0,185.0,507.0,437.0,67.0,0.0,166.0,34.0,538.0,1.0,1688.0,20.0,495.0,15.0,98.0,13.0,4.0,,119.0,16.0,43.0,3246.0,2304.0,297.0,918.0,273.0,724.0,492.0,,,133.0,,178.0,2362.0,4.0,,,,,,339.0,,1.0,8.0,35.0,215.0,,266.0,,486.0
ARM,638.0,591.0,14.0,3.0,24.0,416.0,139.0,2.0,412.0,1.0,,27.0,400.0,645.0,,9.0,,,,636.0,,,,,,,610.0,88.0,,166.0,127.0,29.0,26.0,131.0,16.0,,18.0,29.0,62.0,97.0,24.0,30.0,26.0,2.0,,24.0,,2.0,0.0,0.0,2.0,,,99.0,48.0,30.0,21.0,,18.0,,,,1224.0,231.0,36.0,,158.0,206.0,698.0,63.0,137.0,17.0,0.0,,,16.0,101.0,1.0,1.0,,0.0,3.0,0.0,2.0,,,2.0,,2764.0,445.0,401.0,,427.0,,399.0,,401.0,2.0,426.0,426.0,2690.0,,24.0,2.0,22.0,0.0,375.0,2.0,9.0,,30.0,343.0,1410.0,979.0,2.0,,0.0,2.0,,7.0,331.0,54.0,46.0,48.0,0.0,21.0,,,,524.0,0.0,,423.0,,29.0,44.0,7.0,44.0,,7.0,21.0,399.0,200.0,,7.0,193.0,,,,1542.0,460.0,5.0,18.0,521.0,551.0,14.0,400.0,95.0,482.0,31.0,0.0,6.0,64.0,3.0,0.0,1.0,1.0,,135.0,79.0,4.0,306.0,8.0,1363.0,182.0,,,9.0,888.0,,97.0,74.0,,,,0.0,1.0,,,0.0,,0.0,,9.0,,1.0,73.0,,,9.0,,,,100.0,,,26.0,1.0,,,0.0,1.0,28.0,,32.0,,,,,,,,148.0,84.0,,,46.0,,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,179.0,,110.0,97.0,179.0,5.0,9817.0,3569.0,3.0,2912.0,1312.0,497.0,2609.0,654.0,22.0,348.0,43.0,,,,,,,,,49.0,2.0,,0.0,16.0,13.0,9.0,,,,,,2.0,,,,9.0,0.0,,2.0,,,,,,,,,1.0,,,,1.0,,,9.0,,,,,,,9.0,,,,,,,,,
ATG,,43.0,,43.0,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,43.0,,87.0,42.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,96.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,50867.0,246723.0,20543.0,28017.0,28691.0,42395.0,101282.0,15801.0,6859.0,7955.0,13570.0,52173.0,17358.0,65438.0,22369.0,5214.0,4363.0,73.0,116.0,30093.0,862.0,652.0,376.0,3341.0,583.0,530.0,331310.0,26018.0,2883.0,79979.0,19224.0,27832.0,29983.0,73446.0,17644.0,12434.0,25761.0,65968.0,91530.0,18642.0,46872.0,7669.0,65095.0,12852.0,8876.0,12886.0,3574.0,14254.0,11640.0,9430.0,19961.0,7895.0,1453.0,53001.0,22882.0,10359.0,10465.0,25.0,7600.0,1433.0,3647.0,1612.0,114377.0,45004.0,12294.0,8868.0,15198.0,23866.0,31494.0,9808.0,88717.0,15371.0,10417.0,7876.0,2130.0,13096.0,30277.0,6613.0,8994.0,4510.0,18529.0,6421.0,28375.0,20614.0,5068.0,5376.0,5880.0,6794.0,163814.0,21900.0,26945.0,3530.0,15536.0,4750.0,37401.0,35428.0,22490.0,9279.0,19508.0,4790.0,40003.0,1957.0,31258.0,4455.0,23416.0,10885.0,20040.0,3077.0,11129.0,8128.0,1095.0,6869.0,152148.0,26959.0,5502.0,2395.0,11290.0,14187.0,2263.0,20560.0,41700.0,10926.0,34033.0,29797.0,3606.0,4667.0,1368.0,10267.0,1638.0,132277.0,16526.0,5268.0,49130.0,17602.0,13108.0,11156.0,7178.0,16686.0,15014.0,18095.0,7251.0,21075.0,95163.0,7895.0,11610.0,48996.0,22859.0,11610.0,9139.0,103339.0,39390.0,7880.0,12280.0,23563.0,37354.0,15983.0,15083.0,16360.0,63122.0,6784.0,1170.0,1737.0,22313.0,5313.0,2009.0,1178.0,878.0,293.0,2561.0,9963.0,2939.0,16480.0,14957.0,757490.0,338877.0,3879.0,13124.0,10064.0,35842.0,12013.0,2947.0,6730.0,,1279.0,5190.0,34287.0,19153.0,3428.0,12942.0,20064.0,8499.0,2426.0,8352.0,13071.0,10060.0,6253.0,37740.0,19661.0,33984.0,11215.0,7938.0,47245.0,20275.0,38396.0,17958.0,34603.0,6563.0,11628.0,23767.0,21913.0,25487.0,50992.0,45074.0,12172.0,14405.0,10668.0,10187.0,,10857.0,28182.0,4434.0,4358.0,79610.0,28879.0,6421.0,5155.0,12170.0,8444.0,3495.0,2451.0,22735.0,8888.0,34122.0,7092.0,7531.0,97.0,20.0,1192.0,812.0,932.0,46.0,1500.0,870.0,340.0,701.0,443.0,74.0,,13012.0,179.0,477.0,62.0,520.0,,46378.0,1177.0,11305.0,7251.0,31677.0,7658.0,145793.0,32709.0,3471.0,31276.0,53765.0,5881.0,6263.0,17914.0,2006.0,5597.0,9158.0,83371.0,15947.0,14312.0,19136.0,22928.0,12654.0,6460.0,13779.0,141310.0,9108.0,4359.0,7774.0,39620.0,17213.0,11917.0,2113.0,9006.0,5932.0,8515.0,710.0,32270.0,5382.0,4723.0,4495.0,5051.0,1295.0,8976.0,2254.0,4371.0,3026.0,2163.0,13568.0,10433.0,1106.0,2466.0,1317.0,8513.0,5691.0,,,1594.0,1073.0,805.0,56146.0,756.0,844.0,358.0,650.0,421.0,6.0,624.0,6.0,1697.0,1823.0,861.0,24803.0,383.0,3984.0,,2864.0
AUT,20977.0,46087.0,6379.0,4607.0,4971.0,4937.0,15193.0,5067.0,2486.0,922.0,3131.0,10170.0,2194.0,11050.0,2127.0,551.0,850.0,20.0,18.0,6259.0,8.0,,970.0,385.0,71.0,12.0,124907.0,16627.0,1091.0,32783.0,5820.0,9016.0,15401.0,26477.0,7821.0,5699.0,6436.0,23559.0,27802.0,7800.0,9717.0,2262.0,6902.0,1555.0,568.0,1694.0,112.0,2502.0,1144.0,614.0,3001.0,115.0,327.0,15591.0,4051.0,4698.0,5046.0,40.0,2083.0,606.0,572.0,657.0,54149.0,22731.0,10462.0,1399.0,3136.0,10246.0,14188.0,4280.0,32862.0,9317.0,2386.0,1617.0,1543.0,3316.0,11647.0,1708.0,1333.0,707.0,3607.0,2555.0,7672.0,4537.0,383.0,486.0,2196.0,1739.0,23316.0,3983.0,5380.0,619.0,2364.0,99.0,5210.0,3803.0,4751.0,540.0,1425.0,1726.0,7096.0,422.0,7996.0,781.0,6955.0,1740.0,6165.0,366.0,3798.0,517.0,1552.0,4098.0,43821.0,10125.0,1378.0,1177.0,4132.0,2813.0,1322.0,1545.0,13373.0,2424.0,9584.0,7271.0,316.0,1104.0,466.0,677.0,70.0,27202.0,2410.0,3546.0,8101.0,4990.0,4426.0,1539.0,2852.0,2675.0,1501.0,5602.0,3633.0,4564.0,41633.0,3465.0,5052.0,26679.0,6767.0,1140.0,2569.0,37655.0,12625.0,3107.0,3558.0,11320.0,11622.0,4555.0,4871.0,6153.0,24545.0,2694.0,679.0,877.0,7710.0,2775.0,860.0,510.0,204.0,230.0,1768.0,4571.0,1171.0,3041.0,7199.0,275207.0,134322.0,1553.0,6366.0,2850.0,18338.0,4737.0,661.0,5199.0,,130.0,1492.0,7798.0,2496.0,7.0,3928.0,4886.0,1078.0,804.0,704.0,12945.0,4661.0,2205.0,23770.0,3221.0,6610.0,2597.0,3221.0,19813.0,3753.0,18254.0,5935.0,5638.0,2636.0,6310.0,4542.0,6648.0,7613.0,8517.0,3298.0,4074.0,13678.0,1511.0,1801.0,,8554.0,16873.0,4444.0,6478.0,35320.0,14763.0,2362.0,2902.0,5852.0,2754.0,458.0,532.0,8939.0,3722.0,6322.0,38.0,2099.0,,2.0,2.0,,502.0,23.0,85.0,56.0,,12.0,54.0,20.0,,3450.0,38.0,,,,,18923.0,71.0,5090.0,3572.0,11653.0,2548.0,67684.0,26960.0,810.0,5001.0,20475.0,3413.0,4604.0,9351.0,1658.0,1524.0,3327.0,8978.0,849.0,1004.0,1113.0,1087.0,2703.0,2175.0,1607.0,15388.0,1512.0,631.0,569.0,1178.0,2643.0,459.0,149.0,1114.0,1897.0,1610.0,112.0,3128.0,101.0,167.0,511.0,115.0,252.0,39.0,125.0,1291.0,179.0,383.0,3410.0,2670.0,257.0,680.0,275.0,2894.0,471.0,,,2418.0,23.0,228.0,8898.0,24.0,,41.0,,466.0,,643.0,,0.0,433.0,0.0,1073.0,,1904.0,,443.0
