,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AUS,7.9111111111111105,0.0,1.4999999999999996,6.266666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,5.833333333333333,40.941269841269836,2.833333333333333,7.833333333333333,11.052922077922078,5.0,0.75,3.8035714285714284,0.0,1.0,3.0,0.0,0.0,2.75,1.5,4.271428571428571,1.2,2.9761904761904763,0.5,3.7285714285714286,1.25,7.818650793650794,0.0,2.6666666666666665,0.7142857142857142,0.0,2.0,0.0,0.0,0.0,18.0,0.5,4.833333333333333,6.5,2.0,15.433333333333334,3.333333333333333,1.1666666666666665,0.0,0.0,0.4,1.4166666666666665,1.1125541125541125,0.0,1.0666666666666667,0.5,1.0,15.123015873015875,3.592857142857143,1.342857142857143,1.0,0.0,9.50952380952381,0.0,0.0,1.3333333333333328,1.4999999999999996,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,2.833333333333333,0.0,0.25,0.0,3.0,3.0,0.6666666666666666,10.25,2.666666666666666,0.3333333333333333,1.0,0.0,1.6401515151515151,5.693181818181818,0.0,2.0,0.1666666666666666,0.1428571428571428,11.385714285714286,0.0,0.0,0.0,1.7142857142857142,1.25,0.8333333333333333,0.0,0.8571428571428571,1.875,0.5,2.0,0.0,15.7,4.642857142857142,2.0,0.0,1.4166666666666665,3.9499999999999997,2.5,2.0,3.1666666666666665,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,8.733333333333333,3.0,2.4,10.333333333333332,0.5,0.0
AUT,17.2,3.5,1.3333333333333333,3.6666666666666665,0.0,0.3333333333333333,0.0,10.0,1.0,1.6666666666666665,0.5,15.483333333333333,38.46808143547274,2.0,18.211111111111112,12.474242424242425,4.0,0.0,0.5,4.95,0.0,1.0,0.2499999999999999,0.8999999999999999,4.35,6.083333333333333,9.85,3.666666666666666,1.775,2.6666666666666665,3.1,0.0,15.844444444444445,2.033333333333333,0.0,1.6666666666666665,0.0,3.3333333333333335,5.0,0.0,1.6666666666666665,25.03333333333333,8.583333333333332,2.583333333333333,1.0,1.0,11.599999999999998,5.25,1.0,0.0,0.0,0.3333333333333332,3.375,8.4,0.4,2.525,0.0,0.0,9.79259991216513,14.144444444444442,8.698484848484847,3.8363636363636364,0.25,11.183333333333334,0.0,1.0,8.149999999999999,3.666666666666666,8.433333333333334,1.5,2.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.0,0.5,0.6666666666666666,0.5,0.0,0.8333333333333333,10.5,2.333333333333333,1.6666666666666663,11.0,11.0,9.866666666666667,2.833333333333333,0.0,2.666666666666666,17.083333333333332,0.0,3.1666666666666665,0.0,0.0,26.483333333333334,1.3333333333333333,2.5,0.25,5.316666666666666,8.566666666666666,5.166666666666666,2.2666666666666666,3.2499999999999996,0.8333333333333333,4.333333333333333,5.166666666666666,0.0,17.708333333333332,2.0476190476190474,0.6,2.0,2.4166666666666665,2.833333333333333,0.5,0.0,1.5,2.583333333333333,1.0,0.0,0.0,0.5,0.0,20.416666666666664,7.0,9.708333333333332,4.680555555555555,4.9833333333333325,0.0
BEL,10.596428571428572,1.5833333333333333,1.0,4.633333333333333,0.0,0.0,0.0,1.0,0.0,0.5,3.5,7.066666666666666,33.20137362637362,1.0,7.0,10.791666666666666,0.0,0.3166666666666666,0.75,1.23015873015873,1.0,0.25,0.1666666666666666,0.0,4.595238095238095,7.995238095238096,2.9857142857142858,1.1666666666666667,2.1666666666666665,1.3333333333333333,0.0,0.5,11.817857142857143,0.0,0.0,5.729256854256854,0.0,2.6,2.0,0.0,0.3766233766233766,8.705555555555556,1.1111111111111112,1.0,3.0,0.3333333333333333,23.15,0.0,0.0,0.0,0.0,0.8928571428571428,4.839285714285714,1.0,2.8047619047619046,2.9444444444444446,0.8500000000000001,0.0,25.763236763236762,33.381547619047616,4.349404761904761,1.0,10.583333333333332,9.790151515151516,0.0,0.0,4.226190476190476,3.276190476190476,2.783333333333333,7.0,0.0,0.0,0.0,1.35,0.5357142857142857,39.99166666666667,0.3928571428571428,0.0,2.9166666666666665,2.4333333333333336,0.2,1.1818181818181819,1.35,3.333333333333333,2.0,10.75,2.0,2.25,3.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.283333333333333,0.3333333333333333,0.0,0.0,2.666666666666667,3.0,0.0,0.0,1.0,0.25,2.5,1.0,0.0,12.583333333333332,2.8,16.726190476190474,0.0,2.083333333333333,2.7,0.4333333333333333,1.3333333333333333,1.3333333333333333,0.0,2.0,0.0,0.0,1.1666666666666667,0.0,14.823412698412698,12.866666666666667,4.083333333333333,23.866666666666664,4.667857142857143,0.0
BGR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919047619047619,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,1.5809523809523809,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111111,0.111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
BRA,0.1666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.833333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.2,0.1999999999999999,0.0,0.0,0.9242424242424242,1.0,1.0833333333333333,0.3333333333333333,0.0,0.0454545454545454,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.49999999999999994,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.8666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0
CAN,9.542743764172336,0.0,1.0,9.847222222222221,2.0,0.2,0.0,1.6428571428571428,2.0,0.0,0.0,12.616666666666665,46.397222222222226,0.0,4.761904761904762,17.70873015873016,1.0,2.9,1.0,0.8666666666666667,0.0,0.0,1.0333333333333332,0.5,6.516666666666667,3.533333333333333,11.058333333333334,3.941666666666667,2.7777777777777772,4.65,4.75,0.0,22.1015873015873,0.3333333333333333,0.625,1.5777777777777777,0.0,3.916666666666666,2.0,0.0,0.5333333333333333,10.083333333333334,1.3333333333333333,2.8333333333333335,1.5,0.0,20.241666666666667,0.7,1.2,0.0,0.0,0.1666666666666666,5.241666666666666,2.166666666666666,1.0833333333333333,7.116666666666666,2.083333333333333,0.2,20.107482993197276,21.16904761904761,4.694444444444445,10.998015873015873,2.1666666666666665,14.204931972789115,0.0,0.0,1.25,9.766666666666666,3.5166666666666666,6.699999999999999,1.0,0.0,0.0,0.0,0.0,0.0,2.833333333333333,1.0,1.0,0.0,0.0,5.477777777777778,1.0,5.0,0.0,8.277777777777779,4.083333333333333,3.0,4.333333333333333,0.0,1.0,5.283333333333333,0.0,1.8333333333333333,0.0,1.0,8.283333333333333,0.0,3.5,1.0,3.577777777777778,1.825,2.5,0.0,0.75,4.5285714285714285,0.0,1.0,0.0,24.599603174603175,3.033333333333333,6.742063492063492,0.0,4.444444444444445,12.533333333333331,3.6,2.783333333333333,2.083333333333333,2.0,6.466666666666667,0.0,0.2222222222222222,1.5833333333333333,0.0,28.46666666666667,4.258333333333334,1.6666666666666663,20.75,3.1523809523809523,0.0
CHE,44.96071428571429,2.65,1.0,14.74090909090909,3.75,4.7,0.0,7.999999999999999,6.0,7.116666666666666,1.0,46.083333333333336,124.43152125652125,5.75,11.125,39.95198412698413,3.1666666666666665,1.6666666666666665,0.3,15.0,1.8333333333333328,1.4722222222222223,1.0833333333333333,0.8666666666666667,16.916666666666664,13.133333333333333,51.422222222222224,9.95,11.833333333333332,4.3,1.9,4.25,31.902579365079365,6.866666666666666,0.0,7.501785714285714,0.0,11.966666666666665,3.9499999999999997,0.5,0.3333333333333333,15.331746031746032,5.0,6.358333333333333,5.25,3.392857142857143,104.6952380952381,13.45238095238095,1.0,0.3333333333333333,0.0,1.25,5.0,8.583333333333334,4.949999999999999,5.170238095238094,1.125,2.1666666666666665,115.96062826062825,45.532875457875456,42.1813492063492,3.257142857142857,3.2666666666666666,11.218253968253968,0.0,0.0,3.55,6.626190476190476,8.6,8.45,2.75,0.0,0.0,29.266666666666666,6.791666666666666,12.875,8.7,4.0,19.819444444444443,0.2,1.6333333333333333,3.791666666666666,14.480158730158731,7.199999999999999,7.249999999999999,34.99166666666667,16.3,11.333333333333334,3.0,0.0,14.75,12.904761904761905,0.8333333333333333,8.975,1.4333333333333333,4.5,56.640079365079366,1.9464285714285714,2.771428571428571,1.25,12.666666666666666,10.816666666666666,1.6190476190476188,0.5,0.7000000000000001,2.0000000000000004,7.166666666666667,3.9999999999999996,0.0,76.69206349206348,10.416666666666666,20.263034188034187,24.666666666666668,11.75,8.85,6.469047619047619,8.416666666666666,5.216666666666667,4.0,9.464285714285714,0.5,0.0,3.533333333333333,0.0,71.59087301587302,14.033333333333333,11.5,21.333333333333332,17.687301587301587,0.0
CHL,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.5277777777777777,0.0,0.0,0.3888888888888889,1.0,0.0,0.0,1.0,0.0,2.833333333333333,1.0,5.666666666666666,9.436507936507937,0.0,3.0,2.333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333331,0.0,1.0,0.0,0.8333333333333333,1.0,4.0,0.0,0.0,0.5,0.375,0.3333333333333333,0.0,1.2777777777777777,0.0,0.0,2.6666666666666665,2.0,0.0,7.416666666666667,0.0,0.5,0.125,0.5,3.7222222222222223,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.7539682539682537,1.4603174603174602,0.1111111111111111,2.5,0.0,2.583333333333334,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.0,1.0,2.75,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,3.1666666666666665,0.0,0.9166666666666666,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.571428571428571,0.0,0.0,0.0,2.583333333333333,2.0,0.25,2.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,11.916666666666666,0.5,1.0833333333333333,2.5,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
