,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
AUS,0.0,0.9999999999999998,1.0,1.0,11.416666666666666,2.333333333333333,1.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.0,4.833333333333333,1.1666666666666665,1.0,0.5,0.5,4.75,0.0,11.333333333333332,4.75,0.0,0.9583333333333333,0.0,0.1666666666666666,0.0,0.0,6.916666666666667,0.0,0.5,0.5,1.25,2.0,7.875,0.0,0.0,0.5,0.0,0.0,0.0
AUT,0.0,1.5,0.0,1.0,4.716666666666667,0.0,0.5,1.5,6.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.172619047619047,1.9166666666666665,0.0,0.0,2.833333333333333,4.0,0.0,4.333333333333333,1.75,0.0,2.083333333333333,1.0,0.9583333333333333,0.0,1.0,14.993589743589743,3.0,1.3611111111111112,0.0,0.0,3.833333333333333,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,1.0,0.3333333333333333,8.75,8.05952380952381,0.0,1.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.3333333333333333,4.999999999999999,0.0,0.0,10.750000000000002,0.0,2.0,0.0,1.75,4.5,0.0,1.0,9.188095238095238,2.0,0.0,2.25,1.6666666666666665,0.0,0.0,3.5,0.0,2.0,0.5,0.5,1.1666666666666665,5.0,0.0,0.0,0.0,0.0,0.25,0.0
BGR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,1.5,0.0,1.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,3.666666666666666,15.333333333333332,0.0,0.0,0.25,1.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,3.5,1.5,21.333333333333336,0.0,0.0,3.75,1.1666666666666663,2.0,2.0,1.25,42.47222222222222,0.0,3.5,6.25,1.0,1.0,3.25,6.027777777777777,0.0,2.0,15.75,0.5,5.333333333333333,0.0,1.8333333333333333,0.8333333333333331,2.6666666666666665,0.0,0.0,0.25,0.0,0.75,0.0
CHE,0.0,1.0,1.1666666666666665,5.333333333333333,9.544776714513556,0.0,0.9166666666666666,1.5,7.5,0.0,0.0,0.0,1.5,0.0,0.7361111111111112,0.0,1.5,0.0,2.75,0.0,0.0,9.583333333333332,2.333333333333333,1.0,1.3333333333333333,1.3333333333333333,18.275000000000002,0.5833333333333333,1.1666666666666665,12.649999999999999,0.1666666666666666,0.25,1.0,6.402777777777778,0.0,7.333333333333333,7.833333333333334,1.0,8.166666666666666,0.0,1.6666666666666665,0.5,5.666666666666666,0.0,0.5555555555555556,0.6111111111111112,0.0,0.1111111111111111,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,0.0,0.0,2.0,6.041666666666666,0.0,0.5,2.666666666666666,1.0,0.0,0.0,0.0,2.0,0.0,1.6666666666666663,0.0,0.0,3.0,4.0,0.0,0.0,4.166666666666666,0.3333333333333333,0.0,0.0,1.0,19.983333333333334,0.0,0.0,2.25,0.0,0.0,0.0,2.0833333333333335,1.0,1.0,3.833333333333333,0.0,0.0,1.0,1.0,0.25,0.5,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,0.0,8.75,5.033333333333333,15.891666666666666,64.8468899521531,0.75,8.683333333333334,40.833333333333336,51.4,5.25,0.0,0.0,13.166666666666666,0.5,5.636904761904761,0.0,6.125,5.0,26.266666666666666,0.0,0.0,99.71309523809524,12.666666666666666,16.5,8.0,17.083333333333332,164.5690476190476,3.333333333333333,27.666666666666664,77.67142857142858,2.4166666666666665,8.5,5.725,66.35714285714286,4.5,58.416666666666664,285.1807692307692,6.0,47.87083333333334,4.916666666666666,9.6375,30.083333333333332,45.083333333333336,0.3333333333333333,0.7,5.499999999999999,0.5333333333333333,5.695238095238095,0.0
DNK,0.0,1.5,0.5,3.7333333333333334,6.583333333333334,1.0256410256410255,1.5,2.0,2.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,1.0,0.25,3.75,0.0,0.0,21.976190476190474,1.0,0.0,0.0,4.833333333333333,1.3333333333333333,0.0,0.0,8.833333333333334,0.0,1.0,3.0,5.709523809523809,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
ESP,0.0,1.0,0.5,5.0,0.41666666666666663,0.0,0.5,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,3.5,0.25,0.0,0.0,0.0,1.0,0.0,1.5,8.0,0.0,1.0,0.0,1.5,0.0,0.0,3.5,0.0,3.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,1.125,0.0,0.4,0.5833333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.25,5.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,2.15,2.5,0.0,4.5,2.9,1.5,1.0,2.0,2.1666666666666665,0.0,1.0,11.25,0.0,0.0,0.0,0.0,1.375,3.4,0.0,0.0,0.0,0.0,3.0,0.0
FRA,1.0,1.75,3.75,5.583333333333333,26.583333333333336,4.0,1.0,4.0,9.75,2.5,0.0,0.0,8.75,0.75,1.0,0.0,5.25,8.566666666666666,9.5,0.0,0.0,17.625,6.0,15.0,1.0,2.083333333333333,46.75,0.0,6.166666666666666,40.28333333333333,0.5,7.0,2.0,14.775,0.5,1.8333333333333333,96.83333333333334,1.0,28.5,1.0,3.916666666666667,11.833333333333332,9.75,0.0,0.0,1.75,0.0,3.5,1.0
