,Y02A  10,Y02A  20,Y02A  30,Y02A  40,Y02A  50,Y02A  90,Y02B  10,Y02B  20,Y02B  30,Y02B  40,Y02B  50,Y02B  60,Y02B  70,Y02B  80,Y02B  90,Y02C  10,Y02C  20,Y02D  10,Y02D  30,Y02D  50,Y02D  70,Y02E  10,Y02E  20,Y02E  30,Y02E  40,Y02E  50,Y02E  60,Y02E  70,Y02P  10,Y02P  20,Y02P  30,Y02P  40,Y02P  60,Y02P  70,Y02P  80,Y02P  90,Y02T  10,Y02T  30,Y02T  50,Y02T  70,Y02T  90,Y02W  10,Y02W  30,Y02W  90,Y04S  10,Y04S  20,Y04S  30,Y04S  40,Y04S  50
AUS,0.0,3.333333333333333,0.0,2.5,7.3428571428571425,2.5,0.5,1.0,0.1666666666666666,0.0,0.0,0.0,0.976190476190476,0.0,0.1428571428571428,0.0,4.5,0.0,1.0,0.0,0.0,18.83333333333333,0.5,0.0,0.1428571428571428,2.583333333333333,8.981746031746033,0.5833333333333333,2.6666666666666665,3.9166666666666665,1.3333333333333333,0.0,3.0,3.2222222222222223,0.0,0.5,6.161111111111111,0.0,2.333333333333333,0.0,0.0,3.833333333333333,1.5,1.0,0.4761904761904761,0.1428571428571428,0.0,0.8095238095238094,0.5
AUT,1.0,1.125,1.0833333333333333,1.0,2.833333333333333,0.2666666666666666,7.166666666666666,5.0,5.875,0.0,0.0,0.0,4.25,0.3333333333333333,1.0,0.0,4.0,0.0,0.0,0.0,0.0,26.98333333333333,1.75,0.0,1.1666666666666663,3.75,15.433333333333334,1.1666666666666663,10.499999999999998,4.999999999999999,0.5,2.75,1.0,7.041666666666666,2.25,0.8333333333333333,26.241666666666667,0.5,1.0,1.0,2.45,3.125,8.5,0.0,0.5333333333333333,1.0,0.2,1.3333333333333333,0.0
BEL,0.0,1.0,1.3333333333333333,11.822222222222225,3.833333333333333,0.0,2.458333333333333,1.6666666666666663,15.333333333333332,0.0,0.0,0.0,2.625,0.5,0.2,0.0,0.2,2.75,2.5,0.0,0.0,22.90833333333333,0.0,1.0,0.7,1.933333333333333,11.825,0.125,3.666666666666666,15.816666666666666,7.883333333333333,4.0,2.333333333333333,2.75,1.0,0.0,8.491666666666667,1.0,4.0,0.0,0.625,2.0,11.333333333333332,0.0,1.325,0.625,0.125,0.2,0.0
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,1.0,0.0,2.0,4.666666666666666,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6666666666666663,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.4999999999999998,2.0,0.0,0.0,0.3333333333333333,0.3333333333333332,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CAN,0.0,0.3333333333333333,1.8333333333333333,2.1666666666666665,10.083333333333334,1.0,5.902380952380953,5.333333333333333,4.283333333333333,0.3333333333333333,0.0,0.0,1.0666666666666669,0.3333333333333333,4.083333333333334,0.0,8.208333333333334,5.857142857142857,23.880952380952383,0.0,0.0,22.09285714285714,3.0,5.0,0.75,16.983333333333334,33.17023809523809,0.4857142857142857,3.6666666666666665,7.444444444444445,2.5666666666666664,1.0,2.2777777777777777,9.933333333333334,0.75,3.083333333333333,7.391666666666667,1.0,3.0,0.0,1.1833333333333331,4.083333333333333,3.6,0.0,0.8999999999999999,1.0666666666666669,0.0,1.25,0.3333333333333333
CHE,0.0,0.8999999999999999,1.0833333333333333,0.2428571428571428,12.676190476190476,1.75,8.166666666666666,5.833333333333334,10.833333333333334,2.333333333333333,1.0,0.0,4.079166666666667,0.5,0.0,0.0,3.083333333333333,0.3333333333333333,2.0,0.0,0.0,45.5797619047619,9.7,1.5,3.5,3.95,28.579166666666666,0.0,5.75,9.0,0.25,1.25,2.75,7.908333333333334,0.3333333333333333,6.75,11.959523809523809,0.0,5.666666666666666,0.0,1.7333333333333334,4.7,3.7,1.0,3.4625,1.5791666666666666,0.7333333333333333,7.0,0.0
CHL,0.0,0.0,0.0,0.3272727272727272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,1.3333333333333333,0.5,4.25,12.277777777777777,1.5,5.416666666666666,42.25,10.583333333333332,3.75,1.0,0.0,14.333333333333332,0.5,1.4166666666666663,0.0,0.6944444444444444,10.875,70.05119047619047,0.0,0.0,133.5595238095238,3.5,3.0,1.0,5.809523809523809,71.11626984126984,2.25,6.2,12.544444444444444,1.5,3.5,3.75,34.08888888888889,2.75,2.5,19.625,2.0,5.2,1.5,2.375,7.166666666666667,7.7,1.0,0.2916666666666666,2.9166666666666665,0.0,5.583333333333333,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
