,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AUS,25.968055044370832,0.0,1.5,8.903679653679653,0.0,2.105555555555555,2.5,6.0,0.0,4.857142857142857,0.3333333333333333,20.014786967418548,184.99649287290265,4.015873015873016,13.74059472273758,24.48552604802605,3.2999999999999994,0.55,0.5,3.3704517704517705,0.25,0.5714285714285713,1.0095238095238095,0.5,0.0,2.9886446886446887,1.896428571428572,0.2389705882352941,4.148809523809524,2.0,1.4583333333333333,0.7083333333333333,6.396947978062529,0.0,0.125,5.789117929713905,4.05467032967033,0.7666666666666666,0.125,0.0,0.0,18.64305405923053,0.5833333333333333,6.088095238095238,4.046825396825397,5.739393939393939,9.667965367965367,2.6484126984126983,1.375,0.0,1.15,2.7422771672771677,5.366025641025641,2.1596681096681096,2.0694444444444446,2.1722222222222225,2.2928571428571427,0.8,24.919484535931904,9.595475431001748,5.116222100626125,6.991798941798941,2.971693121693121,34.962853812853815,0.0,0.1,0.5396825396825397,7.805026455026455,2.3131598793363497,1.9389455782312923,0.2,0.1428571428571428,0.0,0.25,0.0,0.5,0.0512820512820512,0.0,1.5,0.0,0.2756410256410256,0.675,2.323504273504273,7.432407407407407,2.0497474747474747,14.569183430948137,6.488961038961039,7.483333333333333,12.0,0.0,2.943939393939394,2.257575757575758,2.107575757575757,6.157575757575757,1.5571428571428572,0.7777777777777777,26.56342315092315,2.024074074074074,3.551298701298701,0.2727272727272727,0.5277777777777777,4.043137254901961,2.5,0.4761904761904761,0.5952380952380951,2.5749554367201424,2.5166666666666666,0.4,0.0,51.86105130980131,9.599080086580086,0.95995670995671,0.1666666666666666,6.117857142857143,67.0340966814414,7.187301587301588,4.116269841269841,3.852241805813234,8.197949735449734,1.3609126984126985,0.0,7.216067563388992,1.7917378917378912,0.0,21.223691784406068,13.196211196211197,2.686111111111111,63.83634414354911,5.36469363969364,0.0
AUT,35.706456043956045,9.707142857142856,0.125,9.111340852130326,0.6111111111111112,4.971794871794872,1.2,3.75,5.199999999999999,1.7416666666666667,0.125,50.18591269841269,146.9580269843389,3.0666666666666664,19.7056727994228,29.20840172898996,7.492857142857143,1.9678571428571427,1.9166666666666663,8.837878787878788,1.309523809523809,2.666666666666666,2.971428571428571,0.0833333333333332,27.889957264957268,13.176753801753804,29.363629426129425,5.490395021645021,19.074503968253968,4.238492063492064,9.493891647568118,6.992002442002442,45.68563868049162,4.104700854700854,2.021428571428572,21.70743734249926,9.006746031746031,8.394444444444444,4.625,0.0,4.15266106442577,68.66398821766468,41.61957070707071,30.378643578643576,7.778571428571428,6.354761904761904,51.17402597402597,24.21602564102564,0.2,0.1666666666666666,5.384559884559884,1.1738095238095234,5.321663059163059,6.109126984126984,4.073626373626373,13.337752525252528,1.5,0.4,27.08949819243937,62.66818098840157,12.356278420130115,4.187545787545788,1.6666666666666663,35.730418824095295,0.125,0.0,6.139285714285714,6.637049062049061,6.622846597846598,3.2432900432900427,0.6222222222222222,0.4999999999999999,0.0,1.2617826617826615,0.1,1.2857142857142856,1.6535409035409034,1.0,7.464743589743589,2.5083333333333333,0.6376068376068376,10.65092203548086,22.758315295815297,10.766666666666666,4.472222222222222,39.33488790705285,51.71825396825397,13.782738095238097,9.228571428571428,0.0,14.526121509209744,39.49222300031124,4.836580086580087,16.66957671957672,2.915512265512265,3.259523809523809,83.51495155171625,8.845629370629371,61.05734126984126,0.0,7.260317460317459,22.713461538461537,7.957814407814407,1.4785714285714284,6.861111111111111,8.008485958485958,11.65,1.0,0.0,115.67666198180903,17.982539682539684,6.0625,2.005357142857143,20.92709235209235,61.70162892662893,10.128571428571428,7.59309163059163,7.309902597402597,5.531547619047618,1.1666666666666663,0.0,3.454785247432305,0.6666666666666666,0.0,103.07941382447962,52.24253663003663,11.658333333333331,90.16080863580864,46.08237164881902,0.0
BEL,69.50339105339106,3.259523809523809,0.1666666666666666,22.837975304422677,0.1111111111111111,1.8575757575757577,1.0,3.5,2.0,7.574999999999999,4.1,18.004772347535503,139.53517965019446,1.1575757575757577,2.85,48.53610718630068,2.4,0.1818181818181818,1.1,4.290981240981242,0.0,2.26082251082251,0.2678571428571428,0.25,4.019966583124479,3.2867063492063484,6.227788877788877,1.7777777777777777,0.6666666666666665,8.066666666666666,1.5305555555555554,4.902871148459383,21.370892440537578,0.5588235294117646,2.078968253968254,34.35638602571905,5.187698412698413,15.37335164835165,3.616666666666666,0.0,1.7602564102564102,32.01629435379435,3.666666666666666,4.869696969696969,2.8722222222222222,6.898015873015874,36.9258781423255,4.4,6.448647186147185,2.0,0.6525641025641025,3.537188795375659,8.910321292877612,3.5659663865546216,31.32870879120879,11.82663488472312,2.9722222222222223,1.0,41.633540276740405,53.29951522119715,21.962409788783628,4.739183964183964,35.93980260480261,39.429724382944194,0.0,0.0357142857142857,4.911286181139123,3.9332166199813257,6.083811858076563,1.5998949579831931,2.4444444444444446,0.25,0.0,1.846825396825397,2.6625,16.511309523809523,2.5741104655578337,4.075,7.890079365079364,1.85,4.372691197691198,2.931060606060606,6.051587301587301,6.904761904761905,1.2833333333333337,33.183415383990834,11.554112554112557,17.385531135531135,1.4333333333333331,0.0,15.393326118326115,7.9254329004329,1.9839285714285717,14.630158730158728,7.617532467532468,1.1157407407407405,32.75363378737992,5.070887445887445,6.816514966514967,0.5523809523809523,6.091666666666667,14.113888888888887,4.5058201058201055,0.7166666666666666,3.857738095238095,4.563419913419914,4.0,1.111111111111111,0.0,103.01112819642232,27.66353785103785,7.237121212121212,0.5285714285714286,7.297426647426647,73.76160130718954,3.099393090569561,3.083991008991008,10.339058653764535,1.8641337386018235,1.7579365079365077,0.0,7.682789432789433,2.545238095238095,0.0,81.14792648149425,29.176686507936505,12.93531746031746,129.18959129106187,15.144349441408265,0.0
BGR,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,1.9722222222222223,0.0,1.0,0.361111111111111,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9857142857142858,0.0,0.0,0.6666666666666666,0.0,0.0,0.365079365079365,0.3428571428571428,0.0,0.0,0.5,0.8285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.4444444444444444,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.65,0.5,1.0,1.4,0.25,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.75,0.0,0.0,0.0,1.0833333333333333,0.5833333333333333,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,4.0,0.5,5.25,0.0,0.0
BRA,10.582936507936507,0.0,0.0909090909090909,10.033333333333331,1.2,0.3928571428571428,1.0,1.0,0.0,1.0357142857142856,0.0277777777777777,2.522222222222222,50.77430555555556,1.0,1.8666666666666667,4.251388888888889,0.3,0.0,0.1,1.1366013071895424,0.0,0.0,0.6464646464646465,0.0,1.1625,0.0,2.2583333333333333,1.9666666666666663,0.0,0.2,0.0,0.8333333333333333,5.971043771043771,0.0,0.909313725490196,7.121881843646549,0.1666666666666666,0.0,0.0,0.0,0.2,10.647222222222222,0.0,0.1666666666666666,0.6285714285714286,6.125,11.022383498854088,4.75,0.0,0.0,0.0,1.3166666666666669,2.257575757575758,2.5083333333333333,0.0,0.6666666666666666,0.0833333333333333,0.0,5.282936507936507,9.439145622895625,3.727579365079365,1.7777777777777777,1.8666666666666667,6.290873015873016,0.0,0.0,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.9406565656565656,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2159090909090909,3.0857142857142854,1.3333333333333333,0.0,0.6666666666666666,2.571428571428571,0.4,0.0,4.825,0.0,0.9833333333333334,1.7333333333333334,0.3428571428571428,7.035714285714286,0.2,1.0,8.963888888888889,0.3333333333333333,0.8125,0.0,2.0,0.6428571428571428,4.261904761904762,1.4,0.0,0.0,0.0,0.0,0.0,11.17222222222222,2.25,0.2222222222222222,0.0,2.1,15.899272486772489,0.5630952380952381,0.45,1.2857142857142856,0.125,0.0,0.0,1.3333333333333333,0.0,0.0,3.92063492063492,5.738095238095237,0.3809523809523808,9.238425925925926,1.4642857142857144,0.0
CAN,34.265169552669555,0.1111111111111111,0.5,9.217541486291486,1.3487012987012983,5.400488400488401,2.142857142857143,0.6732026143790849,2.4166666666666665,3.841666666666667,1.8666666666666665,17.297619047619047,224.78438023612912,3.404670329670329,17.166958450046685,36.112303664375546,3.111111111111111,1.1,0.5,6.623532023532023,1.9053571428571427,0.1666666666666666,1.795238095238095,0.462121212121212,1.6991666666666667,6.876092339033515,6.452434640522876,2.374299719887955,3.58968253968254,2.1208333333333336,0.0,2.087460317460317,25.2686048193741,0.3611111111111111,1.0529761904761905,11.739572474480076,2.419131652661064,1.58503996003996,1.799404761904762,0.0,1.331547619047619,23.023297535797536,10.125505050505051,12.51904761904762,3.166666666666666,29.669455443421388,24.247269397269395,0.6038461538461538,1.0,0.6000000000000001,1.0495380241648895,1.7164794161062815,7.3645669145669155,15.77377122877123,3.3981060606060605,4.123626373626373,3.733982683982684,0.0,51.89607528407343,25.636194456259403,10.659459325603828,5.448106060606061,1.0307359307359305,45.90362306396125,0.7222222222222222,0.0,1.0308730158730155,6.128282484711056,2.58939393939394,8.923015873015872,0.3333333333333333,1.7142857142857142,0.0,0.0,0.0952380952380952,0.6761904761904761,0.5942460317460316,0.0,0.4206349206349206,0.125,0.8912698412698412,7.90066045066045,3.635353535353535,5.997076023391813,1.9464468864468865,14.021825396825395,2.975,2.295238095238095,25.338919413919413,0.0,13.968925120287349,19.66700008679708,3.822899159663865,10.688961038961038,13.196027446066148,3.941666666666667,45.15230863907335,4.555194805194804,9.939760348583878,0.1185897435897435,7.432051741908885,10.125901875901876,4.1439393939393945,0.3333333333333332,4.074819624819624,1.909018759018759,4.306349206349206,0.0,0.0,107.35669977564588,34.09674554032139,7.274975024975024,1.8892857142857145,7.78356849119233,158.32907060102843,7.225396825396825,12.692352924852925,14.447018504371444,7.757539682539682,0.645238095238095,0.0,15.821733695987357,3.155952380952381,0.0,78.44359529359528,28.70160092745232,16.328968253968252,349.3721840787277,12.539124274418391,0.0
CHE,41.97390676453176,5.494588744588745,0.0,70.95567118691802,75.78469148741061,8.124242424242425,1.6666666666666663,4.047619047619048,15.87410714285714,6.963573232323232,5.858333333333333,111.93820346320346,462.3968373034837,4.041145659895659,14.969000933706814,79.83923491927084,3.733333333333333,2.9714285714285715,2.65,14.863095238095235,0.5201388888888889,1.7678571428571428,3.688888888888889,0.6547619047619047,16.4375,10.89691737356211,43.77785790329395,10.39017857142857,31.157552863802863,7.5476479076479075,4.522619047619047,4.211075036075036,51.69884645073619,1.7777777777777777,5.864285714285715,38.85203098687232,8.217564745196324,16.99884259259259,9.337495143745144,0.8269230769230766,3.873445767195767,34.1629717289934,23.451587301587303,23.804708200296435,5.412337662337662,10.16851851851852,123.79536232286232,54.53928571428572,4.448015873015873,0.4861111111111111,7.136790840738208,0.7595238095238094,15.634038780420358,13.939255189255189,5.517460317460317,28.91692855755356,1.8003663003663002,0.5,129.54125712780208,61.13715464841612,38.79647269234084,10.398642942025294,9.4511221014128,62.11045110256812,0.2333333333333332,0.0909090909090909,5.185497835497835,13.822287799919378,11.574454018204015,6.197557997557999,0.6444444444444444,0.4046560846560846,0.0,13.63994708994709,1.825,6.633333333333333,2.075595238095238,3.1,8.439999005624006,3.554761904761905,0.6762617012617012,5.362915903540904,14.43095238095238,8.25,20.58095238095238,34.67367158984806,22.133766233766234,17.28888888888889,5.954563492063492,0.0,17.26908646908647,23.766821873217225,2.6186868686868685,18.52915001665001,15.586419136419137,0.9583333333333331,90.09674788174787,0.7777777777777777,11.07094155844156,2.3948773448773446,13.539862914862914,24.24527417027417,9.924170274170274,2.1333333333333333,2.6095238095238096,10.093326118326118,4.458333333333333,10.499999999999998,0.0,244.48979585165628,30.866977466977467,7.547387742975978,164.36919023958498,21.79748677248677,124.0983224183224,12.35612073112073,17.135842860842864,4.838861832611832,7.234493284493283,2.0567460317460315,0.0909090909090908,12.599728234728234,1.876190476190476,0.0,129.3594161856662,93.31386183261183,11.425108225108223,116.87357156732156,29.54257756132756,0.0
CHL,6.224603174603175,0.3333333333333333,0.0,2.7285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4555555555555555,14.810714285714283,0.2,0.0,3.575,0.0,0.1428571428571428,0.0,0.2857142857142857,0.0,0.1428571428571428,0.2,0.2,0.0714285714285714,1.1011904761904765,0.4166666666666666,0.0,0.0,0.9333333333333332,0.0,0.0,0.396103896103896,0.1,0.0,0.2142857142857142,0.3636363636363636,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.174603174603175,0.0,0.0,0.0,0.0,0.25,0.0,0.7357142857142855,0.0,1.1298701298701297,0.0,0.0,2.7928571428571427,1.4113636363636366,0.0909090909090908,0.0,0.0,6.128571428571429,0.0,0.0,0.4809523809523809,2.0503968253968257,0.0,1.0357142857142856,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,1.1428571428571428,0.0,0.0,0.1380952380952381,0.0,0.2,0.1666666666666666,0.0833333333333333,0.4,0.0,0.1,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.8857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.1666666666666666,0.0,0.0,0.1818181818181818,3.890151515151515,0.0,0.0,0.2777777777777777,0.0,0.0,0.0,0.1805555555555555,0.0,0.0,0.5,0.5,0.0,0.4305555555555554,0.0,0.0
CHN,66.78424475850946,2.015151515151515,1.3333333333333333,24.33465345928581,37.96547619047619,11.553521478521478,7.165151515151515,14.50682261208577,12.162912087912089,38.94367484367484,9.22045177045177,136.96723779601786,766.2549640464981,7.449999999999999,62.16729161361515,99.18309525757849,5.066666666666666,1.5333333333333332,2.956385577082299,31.31429395767631,2.083333333333333,0.625,14.093834552980892,1.776190476190476,16.64764354886306,18.612090687090685,32.29620332242283,12.53337912087912,37.690273940007984,11.396031746031746,3.686111111111111,3.9376665001665,58.06668018272668,0.5,1.1685897435897434,47.7819992146887,16.596321733821732,18.882936507936503,3.967857142857143,0.0769230769230769,4.011428571428571,155.3415531454558,22.961421911421912,64.65107098029208,4.817099567099566,54.28198468198468,77.20143638867043,22.03333333333333,5.404061624649859,0.0,3.294047619047619,5.017932884109355,23.02509435009435,18.33198158051099,17.73472832722833,13.096069208569208,0.2,0.0,248.2231044731201,137.4222241195878,52.15645939335276,15.508597883597885,12.040079365079364,112.42053183658447,0.8809523809523808,1.1333333333333333,12.503205128205128,15.712287712287711,20.42204538381009,9.83649406149406,1.0833333333333333,1.725,0.0,9.402014652014651,0.8875000000000001,3.079563492063492,3.087962962962963,0.375,122.84963738368911,2.295959595959596,5.200727513227513,5.423550061050061,6.508008658008658,5.025,16.87142857142857,26.064388944388945,44.82103367392841,8.293722943722942,5.517063492063492,0.0,16.34528342028342,13.98470325970326,14.2992784992785,63.61299648627234,16.68314602064602,4.0555194805194805,143.26685401763083,2.593253968253968,105.71188884644766,4.457359307359307,12.64361471861472,60.45919913419913,79.97498217136568,3.3843822843822844,6.094444444444444,26.855048606364395,6.826923076923077,1.5833333333333333,0.0,311.9986094388798,199.2757011161848,52.07051926831338,14.848260073260072,90.30908690808566,1242.666792666503,30.571496883730926,59.30210354657163,150.77085275835276,48.99413271913272,42.33414659808277,0.0,24.567857142857143,8.101587301587301,0.0,699.1303477678543,243.24102214721933,111.28856870080274,2929.6679109931274,141.48753450530688,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,5.464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.4285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7976190476190477,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0
