,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,E99,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H99
AT11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
AT12,3.3333333333333335,0.25,0.0,0.4583333333333333,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.784523809523809,0.0,5.333333333333333,2.9857142857142858,0.0,0.4523809523809524,0.0,1.5,0.0,0.5,0.0,0.0,1.8333333333333333,1.4166666666666667,1.0,0.6666666666666666,1.0,2.5,1.0,0.0,2.3,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,7.976190476190476,0.6428571428571428,1.0,0.0,0.0,7.208333333333333,0.0,0.8333333333333333,0.0,0.0,0.0,0.5666666666666667,0.16666666666666666,0.5,2.0,0.0,0.0,1.9235714285714285,2.34,0.0,0.95,1.0,2.0666666666666664,0.0,0.0,0.41666666666666663,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.1111111111111111,1.6,0.0,0.25,4.916666666666666,4.214285714285714,2.4166666666666665,0.0,0.0,0.7619047619047619,0.3333333333333333,0.0,1.1666666666666667,0.0,1.5,4.416666666666667,0.0,1.0,0.0,2.933333333333333,1.8333333333333333,0.2,0.0,0.25,0.45,1.0,0.0,0.0,2.0,1.0,1.04,0.0,0.9166666666666666,0.16666666666666666,1.3333333333333333,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,2.9444444444444446,0.8333333333333333,0.5,5.5,1.5,0.0
AT13,2.0,0.25,0.5,2.458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.82857142857143,0.42857142857142855,6.333333333333333,3.392857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0595238095238095,1.5,0.0,0.0,0.0,0.0,0.0,1.9666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,1.0555555555555556,0.0,0.0,3.0,4.916666666666666,0.0,0.0,0.0,2.625,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,3.3571428571428568,0.5,0.0,4.355714285714286,1.7566666666666666,0.0,0.5,0.5,3.435714285714286,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1.4444444444444444,5.0,0.0,2.083333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.1666666666666665,0.0,0.5,5.333333333333333,0.0,0.0,0.6666666666666666,0.75,0.0,0.6666666666666666,0.0,0.2857142857142857,0.3333333333333333,1.0,0.0,0.0,7.0,0.75,0.04,0.0,0.0,3.1666666666666665,0.3333333333333333,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.5,1.5,1.5,8.0,0.0,0.0
AT21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.4166666666666665,0.75,0.0,0.0,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.5,0.0,1.0,0.0
AT22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3333333333333333,0.0,1.0,5.0,0.0,1.3333333333333333,4.166666666666667,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.3,2.0,5.333333333333333,2.0,0.6666666666666666,0.0,0.5,0.16666666666666666,1.3333333333333335,0.8333333333333333,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,3.0595238095238093,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,1.0,0.0,1.5,3.55,4.283333333333333,1.25,0.0,0.5,0.0,0.0,1.45,1.2,0.3333333333333333,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,0.0,0.0,1.1666666666666665,8.583333333333334,0.0,0.0,0.0,0.0,3.9404761904761907,0.0,0.0,1.0,0.5,1.0,0.0,0.5,1.2166666666666668,0.0,0.0,0.0,0.0,14.916666666666666,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.816666666666666,1.1944444444444444,1.0,1.0,2.1,0.0
AT31,4.5,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,1.5,0.0,0.0,0.0,4.833333333333333,1.0,0.0,0.75,4.833333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.4583333333333333,0.625,3.5,1.125,0.5,2.0,1.0,0.03125,1.8333333333333333,0.0,0.0,0.5555555555555556,0.0,2.0,0.0,0.0,0.0,1.0277777777777777,0.5,1.6666666666666665,0.5,0.0,1.75,1.3333333333333333,0.5,0.0,0.0,0.7,0.25,1.25,0.0,0.25,1.0,0.0,3.1666666666666665,6.666666666666666,0.6666666666666666,0.7142857142857143,0.0,1.5,0.0,0.0,7.386904761904762,0.14285714285714285,0.3333333333333333,1.0,0.5,0.0,0.0,1.6666666666666665,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,6.5,0.0,0.0,2.75,1.5,1.75,0.0,0.0,0.7777777777777777,2.977777777777778,0.0,0.0,0.0,0.0,5.5,0.0,1.0,0.0,0.21428571428571427,0.5,0.5,0.0,3.958333333333333,0.3333333333333333,0.0,1.5,0.0,5.88125,0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.0,0.25,0.0,0.16666666666666666,0.0
AT32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,3.25,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,1.6666666666666665,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0
AT33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.333333333333333,0.0625,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.1666666666666665,0.0,0.0,0.0,0.0,2.0666666666666664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,1.4999999999999998,0.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.5,0.0,0.0
AT34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,0.25,0.0,4.666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,1.9999999999999998,0.0,0.0,1.1666666666666667,0.6666666666666666,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,1.0,0.0,0.0,0.0,1.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.75,2.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,4.25,0.0,1.0,0.8333333333333333,2.0,0.0,0.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2.25,0.5,0.0,0.0,4.25,0.0
ATZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
